ID	Fc1_3h	Fc2_3h	Fc3_3h	Fc1_24h	Fc2_24h	Fc3_24h	Fh1_3h	Fh2_3h	Fh3_3h	Fh1_24h	Fh2_24h	Fh3_24h	Mc1_3h	Mc2_3h	Mc3_3h	Mc1_24h	Mc2_24h	Mc3_24h	Mh1_3h	Mh2_3h	Mh3_3h	Mh1_24h	Mh2_24h	Mh3_24h
OG0000212	13.68186868	13.66801627	13.44146066	13.8734816	13.83031119	13.77720599	11.2445898	11.32612328	11.32612328	11.06482359	11.60831489	11.83416288	9.311083455	9.254238531	9.477826454	10.27143735	10.14538451	9.900613711	9.132054964	9.409141413	9.438176601	10.533903	10.40184909	10.2865208
OG0002619	13.58820164	13.05152505	13.41202066	13.24625814	13.33738775	13.39182222	12.47773297	12.48668798	12.48668798	12.79360128	12.72607763	12.4577887	11.63408816	11.75025225	11.89847933	11.6267681	11.57753174	11.52447022	11.35314186	11.07671607	11.19344836	11.6694879	11.50725452	11.36491818
OG0002855	13.31227178	12.91154179	13.32422556	12.83357798	13.20194164	13.10929036	12.77937464	12.75257822	12.75257822	12.75349674	12.67085538	12.53735674	10.96078318	11.00218845	11.21533521	11.16615304	11.08391008	11.07264245	10.18701549	10.14480225	10.12285258	10.52227746	10.27813812	10.09148167
OG0000289	13.24683114	12.89421336	12.87110437	13.532569	13.47901856	13.82956419	13.20592914	13.33521727	13.33521727	13.05793251	13.30223479	13.30581524	10.92066474	10.85691568	11.01739444	11.05762965	10.9565112	10.82555987	10.40286285	10.40957869	10.39512172	10.93044833	10.81727949	10.53203637
OG0002680	13.20817338	12.92721685	13.32117556	12.94556637	13.00856518	12.89457338	12.51640426	12.41303814	12.41303814	12.45165673	12.2533275	12.06570895	10.4472496	10.54279296	10.71512117	10.08975104	10.40941321	10.34990374	10.18978874	9.993660211	9.995292297	10.46118883	10.31521524	10.2496788
OG0000200	13.1163732	13.09813409	12.87121028	13.23772832	13.03373615	13.07130816	10.85935619	10.89008564	10.89008564	11.30256467	11.07590026	11.41235814	8.042386065	8.193558871	8.375703266	7.123617573	8.309393587	7.645801074	6.445896669	6.667010745	6.594209034	3.269415919	3.856987681	4.313963392
OG0000040	13.07677218	12.77662837	13.07939311	12.97145374	13.03684156	13.18020444	12.13008143	12.14424876	12.14424876	12.46297764	12.3319638	12.26005801	10.99965267	10.94440094	11.20892688	11.28138355	11.07073413	10.99222035	10.60054853	10.47099536	10.57447243	10.73513458	10.47879591	10.29272539
OG0000009	12.96490036	12.98115161	12.6122949	11.66688527	11.99072446	11.78640441	11.03464079	11.08553221	11.08553221	12.71363783	12.65654553	12.64166343	13.05169157	13.10933999	13.35193442	12.70910773	12.44297459	12.60021422	11.45670914	11.54980969	11.78547086	9.995573554	9.856540535	9.808916406
OG0003000	12.78493333	12.32200135	12.56502113	12.37668705	12.33999471	12.26995067	11.84321052	11.83189307	11.83189307	11.95867233	11.89719126	11.80645296	10.99148642	11.01837477	11.17110485	10.54010091	10.87482616	10.897456	10.43293853	10.34391188	10.31534999	9.975281954	9.771947626	9.745828752
OG0001808	12.62326195	12.45155114	12.69383104	12.04258278	12.09440433	11.99468578	11.38653615	11.27139299	11.27139299	11.71430563	11.61174412	11.42415579	9.235097083	9.317049859	9.517460546	8.614597589	9.048303222	9.160675692	8.837931577	8.63284765	8.66304284	8.122658743	8.096313516	8.104976085
