ko	gene
ko00250	CP1g981
ko00250	CP3g3283
ko00250	CP8g6232
ko00240	CP2g1992
ko00250	CP2g1992
ko00240	CP1g159
ko00250	CP1g159
ko00620	CP4g3769
ko00720	CP4g3769
ko00020	CP4g3769
ko00620	CP15g9884
ko00061	CP15g9884
ko00640	CP15g9884
ko00720	CP15g9884
ko00620	CP6g6080
ko00061	CP6g6080
ko00720	CP6g6080
ko00640	CP6g6080
ko00280	CP12g8764
ko00280	CP12g8701
ko00920	CP2g1845
ko02010	CP2g1845
ko00920	CP15g9877
ko02010	CP15g9877
ko00920	CP12g8908
ko02010	CP12g8908
ko00920	CP5g5213
ko02010	CP5g5213
ko00920	CP6g5779
ko02010	CP6g5779
ko02010	CP6g5417
ko00920	CP6g5417
ko00230	CP13g8994
ko00195	CP10g8434
ko00190	CP10g8434
ko00195	CP11g7933
ko00190	CP11g7933
ko00190	CP2g2213
ko00195	CP2g2213
ko00190	CP2g1763
ko00195	CP2g1763
ko00190	CP8g6154
ko04714	CP8g6154
ko05016	CP13g9299
ko00190	CP13g9299
ko05022	CP13g9299
ko05010	CP13g9299
ko05012	CP13g9299
ko05415	CP13g9299
ko05014	CP13g9299
ko04714	CP13g9299
ko05020	CP13g9299
ko05016	CP3g2962
ko00190	CP3g2962
ko05022	CP3g2962
ko05010	CP3g2962
ko05014	CP3g2962
ko05020	CP3g2962
ko04714	CP3g2962
ko05415	CP3g2962
ko05012	CP3g2962
ko00190	CP10g8506
ko05012	CP10g8506
ko05415	CP10g8506
ko05016	CP10g8506
ko05010	CP10g8506
ko04714	CP10g8506
ko05022	CP10g8506
ko05020	CP10g8506
ko05014	CP10g8506
ko04714	CP1g1296
ko05415	CP1g1296
ko00190	CP1g1296
ko05014	CP1g1296
ko05022	CP1g1296
ko05016	CP1g1296
ko05012	CP1g1296
ko05010	CP1g1296
ko05020	CP1g1296
ko05020	CP8g6286
ko04714	CP8g6286
ko05415	CP8g6286
ko05016	CP8g6286
ko05010	CP8g6286
ko00190	CP8g6286
ko05022	CP8g6286
ko05012	CP8g6286
ko05014	CP8g6286
ko04714	CP5g4745
ko00190	CP5g4745
ko04142	CP4g4409
ko05110	CP4g4409
ko05323	CP4g4409
ko04145	CP4g4409
ko04721	CP4g4409
ko05165	CP4g4409
ko04150	CP4g4409
ko05152	CP4g4409
ko05120	CP4g4409
ko00190	CP4g4409
ko04150	CP12g8813
ko05110	CP12g8813
ko05165	CP12g8813
ko04966	CP12g8813
ko05323	CP12g8813
ko04145	CP12g8813
ko00190	CP12g8813
ko04721	CP12g8813
ko05120	CP12g8813
ko05120	CP6g5754
ko04966	CP6g5754
ko04145	CP6g5754
ko05152	CP6g5754
ko05323	CP6g5754
ko04142	CP6g5754
ko05203	CP6g5754
ko05110	CP6g5754
ko00190	CP6g5754
ko04721	CP6g5754
ko05165	CP6g5754
ko04966	CP1g1233
ko05110	CP1g1233
ko05165	CP1g1233
ko04145	CP1g1233
ko05323	CP1g1233
ko05120	CP1g1233
ko00190	CP1g1233
ko04150	CP1g1233
ko04721	CP1g1233
ko05120	CP1g1427
ko05165	CP1g1427
ko05323	CP1g1427
ko05110	CP1g1427
ko04966	CP1g1427
ko04721	CP1g1427
ko04145	CP1g1427
ko04150	CP1g1427
ko00190	CP1g1427
ko05120	CP1g946
ko05165	CP1g946
ko04966	CP1g946
ko00190	CP1g946
ko04145	CP1g946
ko05323	CP1g946
ko04721	CP1g946
ko04150	CP1g946
ko05110	CP1g946
ko05323	CP10g8599
ko05120	CP10g8599
ko05110	CP10g8599
ko05165	CP10g8599
ko04721	CP10g8599
ko04966	CP10g8599
ko04150	CP10g8599
ko04145	CP10g8599
ko00190	CP10g8599
ko05323	CP5g5064
ko05120	CP5g5064
ko05110	CP5g5064
ko05165	CP5g5064
ko04721	CP5g5064
ko04966	CP5g5064
ko04150	CP5g5064
ko04145	CP5g5064
ko00190	CP5g5064
ko04145	CP11g7980
ko05165	CP11g7980
ko05110	CP11g7980
ko04150	CP11g7980
ko04966	CP11g7980
ko05120	CP11g7980
ko00190	CP11g7980
ko05323	CP11g7980
ko04721	CP11g7980
ko05120	CP11g8044
ko05110	CP11g8044
ko04721	CP11g8044
ko04145	CP11g8044
ko05323	CP11g8044
ko00190	CP11g8044
ko05165	CP11g8044
ko04966	CP11g8044
ko04150	CP11g8044
ko05152	CP7g6807
ko05165	CP7g6807
ko04142	CP7g6807
ko04145	CP7g6807
ko05120	CP7g6807
ko00190	CP7g6807
ko04966	CP7g6807
ko05323	CP7g6807
ko04721	CP7g6807
ko05110	CP7g6807
ko00190	CP2g1756
ko04142	CP2g1756
ko04721	CP2g1756
ko04966	CP2g1756
ko05323	CP2g1756
ko05152	CP2g1756
ko05165	CP2g1756
ko05120	CP2g1756
ko05110	CP2g1756
ko04145	CP2g1756
ko00620	CP3g3448
ko00720	CP3g3448
ko00061	CP3g3448
ko00640	CP3g3448
ko00620	CP10g8560
ko00720	CP10g8560
ko00061	CP10g8560
ko00640	CP10g8560
ko04111	CP6g6129
ko04114	CP6g6129
ko04110	CP6g6129
ko04914	CP6g6129
ko04113	CP6g6129
ko05166	CP1g505
ko04110	CP1g505
ko04111	CP1g505
ko04218	CP10g8367
ko05022	CP10g8367
ko04270	CP10g8367
ko04720	CP10g8367
ko04912	CP10g8367
ko04971	CP10g8367
ko04713	CP10g8367
ko04970	CP10g8367
ko04261	CP10g8367
ko04020	CP10g8367
ko05167	CP10g8367
ko04924	CP10g8367
ko04910	CP10g8367
ko04626	CP10g8367
ko04625	CP10g8367
ko05133	CP10g8367
ko04371	CP10g8367
ko04114	CP10g8367
ko05031	CP10g8367
ko04722	CP10g8367
ko05214	CP10g8367
ko04070	CP10g8367
ko05163	CP10g8367
ko04916	CP10g8367
ko05034	CP10g8367
ko04921	CP10g8367
ko04022	CP10g8367
ko04915	CP10g8367
ko05012	CP10g8367
ko04744	CP10g8367
ko04728	CP10g8367
ko05170	CP10g8367
ko04016	CP10g8367
ko04015	CP10g8367
ko04925	CP10g8367
ko05010	CP10g8367
ko04745	CP10g8367
ko04750	CP10g8367
ko05200	CP10g8367
ko04740	CP10g8367
ko05152	CP10g8367
ko04014	CP10g8367
ko04922	CP10g8367
ko05417	CP10g8367
ko04024	CP10g8367
ko05418	CP10g8367
ko04218	CP9g7503
ko05022	CP9g7503
ko04270	CP9g7503
ko04720	CP9g7503
ko04912	CP9g7503
ko04971	CP9g7503
ko04713	CP9g7503
ko04970	CP9g7503
ko04261	CP9g7503
ko04020	CP9g7503
ko05167	CP9g7503
ko04924	CP9g7503
ko04910	CP9g7503
ko04626	CP9g7503
ko04625	CP9g7503
ko05133	CP9g7503
ko04371	CP9g7503
ko04114	CP9g7503
ko05031	CP9g7503
ko04722	CP9g7503
ko05214	CP9g7503
ko04070	CP9g7503
ko05163	CP9g7503
ko04916	CP9g7503
ko05034	CP9g7503
ko04921	CP9g7503
ko04022	CP9g7503
ko04915	CP9g7503
ko05012	CP9g7503
ko04744	CP9g7503
ko04728	CP9g7503
ko05170	CP9g7503
ko04016	CP9g7503
ko04015	CP9g7503
ko04925	CP9g7503
ko05010	CP9g7503
ko04745	CP9g7503
ko04750	CP9g7503
ko05200	CP9g7503
ko04740	CP9g7503
ko05152	CP9g7503
ko04014	CP9g7503
ko04922	CP9g7503
ko05417	CP9g7503
ko04024	CP9g7503
ko05418	CP9g7503
ko04218	CP1g1270
ko05022	CP1g1270
ko04270	CP1g1270
ko04720	CP1g1270
ko04912	CP1g1270
ko04971	CP1g1270
ko04713	CP1g1270
ko04970	CP1g1270
ko04261	CP1g1270
ko04020	CP1g1270
ko05167	CP1g1270
ko04924	CP1g1270
ko04910	CP1g1270
ko04626	CP1g1270
ko04625	CP1g1270
ko05133	CP1g1270
ko04371	CP1g1270
ko04114	CP1g1270
ko05031	CP1g1270
ko04722	CP1g1270
ko05214	CP1g1270
ko04070	CP1g1270
ko05163	CP1g1270
ko04916	CP1g1270
ko05034	CP1g1270
ko04921	CP1g1270
ko04022	CP1g1270
ko04915	CP1g1270
ko05012	CP1g1270
ko04744	CP1g1270
ko04728	CP1g1270
ko05170	CP1g1270
ko04016	CP1g1270
ko04015	CP1g1270
ko04925	CP1g1270
ko05010	CP1g1270
ko04745	CP1g1270
ko04750	CP1g1270
ko05200	CP1g1270
ko04740	CP1g1270
ko05152	CP1g1270
ko04014	CP1g1270
ko04922	CP1g1270
ko05417	CP1g1270
ko04024	CP1g1270
ko05418	CP1g1270
ko04218	CP6g5681
ko05022	CP6g5681
ko04270	CP6g5681
ko04720	CP6g5681
ko04912	CP6g5681
ko04971	CP6g5681
ko04713	CP6g5681
ko04970	CP6g5681
ko04261	CP6g5681
ko04020	CP6g5681
ko05167	CP6g5681
ko04924	CP6g5681
ko04910	CP6g5681
ko04626	CP6g5681
ko04625	CP6g5681
ko05133	CP6g5681
ko04371	CP6g5681
ko04114	CP6g5681
ko05031	CP6g5681
ko04722	CP6g5681
ko05214	CP6g5681
ko04070	CP6g5681
ko05163	CP6g5681
ko04916	CP6g5681
ko05034	CP6g5681
ko04921	CP6g5681
ko04022	CP6g5681
ko04915	CP6g5681
ko05012	CP6g5681
ko04744	CP6g5681
ko04728	CP6g5681
ko05170	CP6g5681
ko04016	CP6g5681
ko04015	CP6g5681
ko04925	CP6g5681
ko05010	CP6g5681
ko04745	CP6g5681
ko04750	CP6g5681
ko05200	CP6g5681
ko04740	CP6g5681
ko05152	CP6g5681
ko04014	CP6g5681
ko04922	CP6g5681
ko05417	CP6g5681
ko04024	CP6g5681
ko05418	CP6g5681
ko04218	CP11g8083
ko05022	CP11g8083
ko04270	CP11g8083
ko04720	CP11g8083
ko04912	CP11g8083
ko04971	CP11g8083
ko04713	CP11g8083
ko04970	CP11g8083
ko04261	CP11g8083
ko04020	CP11g8083
ko05167	CP11g8083
ko04924	CP11g8083
ko04910	CP11g8083
ko04626	CP11g8083
ko04625	CP11g8083
ko05133	CP11g8083
ko04371	CP11g8083
ko04114	CP11g8083
ko05031	CP11g8083
ko04722	CP11g8083
ko05214	CP11g8083
ko04070	CP11g8083
ko05163	CP11g8083
ko04916	CP11g8083
ko05034	CP11g8083
ko04921	CP11g8083
ko04022	CP11g8083
ko04915	CP11g8083
ko05012	CP11g8083
ko04744	CP11g8083
ko04728	CP11g8083
ko05170	CP11g8083
ko04016	CP11g8083
ko04015	CP11g8083
ko04925	CP11g8083
ko05010	CP11g8083
ko04745	CP11g8083
ko04750	CP11g8083
ko05200	CP11g8083
ko04740	CP11g8083
ko05152	CP11g8083
ko04014	CP11g8083
ko04922	CP11g8083
ko05417	CP11g8083
ko04024	CP11g8083
ko05418	CP11g8083
ko04320	CP1g75
ko04320	CP1g867
ko04320	CP6g5710
ko00770	CP2g1659
ko04110	CP15g9883
ko03022	CP15g9883
ko03420	CP15g9883
ko04218	CP9g7677
ko04934	CP9g7677
ko05162	CP9g7677
ko05166	CP9g7677
ko04068	CP9g7677
ko04914	CP9g7677
ko04110	CP9g7677
ko05226	CP9g7677
ko05222	CP9g7677
ko04114	CP9g7677
ko05203	CP9g7677
ko05165	CP9g7677
ko04115	CP9g7677
ko05215	CP9g7677
ko05160	CP9g7677
ko05200	CP9g7677
ko05169	CP9g7677
ko04151	CP9g7677
ko05161	CP9g7677
ko04218	CP4g4047
ko04934	CP4g4047
ko05162	CP4g4047
ko05166	CP4g4047
ko04068	CP4g4047
ko04914	CP4g4047
ko04110	CP4g4047
ko05226	CP4g4047
ko05222	CP4g4047
ko04114	CP4g4047
ko05203	CP4g4047
ko05165	CP4g4047
ko04115	CP4g4047
ko05215	CP4g4047
ko05160	CP4g4047
ko05200	CP4g4047
ko05169	CP4g4047
ko04151	CP4g4047
ko05161	CP4g4047
ko04110	CP1g47
ko04111	CP1g47
ko04113	CP1g47
ko03030	CP1g47
ko04110	CP15g9866
ko04111	CP15g9866
ko04113	CP15g9866
ko03030	CP15g9866
ko03030	CP1g1389
ko04113	CP1g1389
ko04111	CP1g1389
ko04110	CP1g1389
ko04111	CP5g5382
ko04110	CP5g5382
ko04113	CP5g5382
ko03030	CP5g5382
ko04392	CP10g8652
ko04011	CP10g8652
ko04392	CP3g3202
ko04011	CP3g3202
ko05222	CP14g9340
ko04111	CP14g9340
ko05200	CP14g9340
ko00190	CP2g2431
ko04714	CP2g2431
ko00860	CP2g2431
ko00190	CP4g4150
ko04714	CP4g4150
ko04714	CP1g1119
ko00190	CP1g1119
ko00860	CP1g1119
ko02020	CP1g1119
ko04714	CP1g1395
ko00190	CP1g1395
ko00860	CP1g1395
ko02020	CP1g1395
ko04714	CP1g1129
ko00190	CP1g1129
ko00860	CP1g1129
ko02020	CP1g1129
ko00190	CP8g6459
ko04714	CP8g6459
ko05012	CP7g6694
ko00190	CP7g6694
ko04260	CP7g6694
ko05010	CP7g6694
ko05022	CP7g6694
ko05016	CP7g6694
ko05415	CP7g6694
ko04932	CP7g6694
ko04714	CP7g6694
ko05020	CP7g6694
ko05014	CP7g6694
ko04932	CP14g9653
ko05010	CP14g9653
ko04714	CP14g9653
ko05415	CP14g9653
ko05016	CP14g9653
ko05012	CP14g9653
ko00190	CP14g9653
ko04260	CP14g9653
ko05022	CP14g9653
ko05014	CP14g9653
ko05020	CP14g9653
ko00190	CP3g2973
ko00906	CP9g7740
ko00906	CP7g6911
ko00906	CP2g2050
ko00906	CP16g9986
ko00906	CP1g671
ko04710	CP13g9334
ko00860	CP6g5618
ko00860	CP4g3700
ko03030	CP3g3220
ko03030	CP4g3971
ko03030	CP4g3845
ko03030	CP2g2208
ko03420	CP8g6151
ko03410	CP8g6151
ko03030	CP8g6151
ko03410	CP10g8407
ko03030	CP10g8407
ko03420	CP10g8407
ko03030	CP9g7559
ko03420	CP9g7559
ko03410	CP9g7559
ko03030	CP4g3986
ko03440	CP4g3986
ko03410	CP4g3986
ko03430	CP4g3986
ko03420	CP4g3986
ko03030	CP11g7784
ko03440	CP11g7784
ko03410	CP11g7784
ko03430	CP11g7784
ko03420	CP11g7784
ko03030	CP3g3192
ko03440	CP3g3192
ko03410	CP3g3192
ko03430	CP3g3192
ko03420	CP3g3192
ko03440	CP1g1328
ko03410	CP1g1328
ko03430	CP1g1328
ko03420	CP1g1328
ko03030	CP1g1328
ko03420	CP5g4990
ko03030	CP5g4990
ko03440	CP5g4990
ko03410	CP5g4990
ko03420	CP1g1412
ko03030	CP1g1412
ko03440	CP1g1412
ko03410	CP1g1412
ko03420	CP1g1194
ko03030	CP1g1194
ko03440	CP1g1194
ko03410	CP1g1194
ko03420	CP6g5987
ko03030	CP6g5987
ko03440	CP6g5987
ko03410	CP6g5987
ko01524	CP1g1306
ko03460	CP1g1306
ko01524	CP1g1309
ko03460	CP1g1309
ko04626	CP1g703
ko04626	CP2g1760
ko04626	CP4g3663
ko00534	CP9g7380
ko00534	CP16g10087
ko00061	CP8g6357
ko00780	CP8g6357
ko00970	CP10g8480
ko00970	CP4g3608
ko00970	CP13g9038
ko00970	CP15g9722
ko00970	CP4g3977
ko00970	CP3g3163
ko00630	CP3g3282
ko00260	CP3g3282
ko00630	CP8g6511
ko00260	CP8g6511
ko00860	CP3g2590
ko03013	CP10g8535
ko04011	CP10g8535
ko04111	CP10g8535
ko00540	CP9g7686
ko04113	CP4g4500
ko04110	CP4g4500
ko04114	CP4g4500
ko05166	CP4g4500
ko04914	CP4g4500
ko04111	CP4g4500
ko04110	CP4g4436
ko04113	CP4g4436
ko03030	CP4g4436
ko04111	CP4g4436
ko03030	CP8g6495
ko04113	CP8g6495
ko04110	CP8g6495
ko04111	CP8g6495
ko04113	CP10g8410
ko04111	CP10g8410
ko04110	CP10g8410
ko03030	CP10g8410
ko00910	CP3g3155
ko00910	CP14g9660
ko00910	CP14g9661
ko04111	CP4g3954
ko04113	CP4g3954
ko04110	CP4g3954
ko04113	CP9g7404
ko04110	CP9g7404
ko04111	CP9g7404
ko04111	CP1g28
ko04110	CP1g28
ko04113	CP1g28
ko04110	CP6g5891
ko04113	CP6g5891
ko04111	CP6g5891
ko04111	CP14g9375
ko04113	CP14g9375
ko04110	CP14g9375
ko00195	CP9g7268
ko00195	CP2g1548
ko00195	CP2g2068
ko00195	CP11g8139
ko00195	CP6g5755
ko00195	CP6g5672
ko00195	CP2g1791
ko00195	CP2g2235
ko00195	CP9g7271
ko00195	CP8g6430
ko00195	CP2g2381
ko03030	CP4g3880
ko03030	CP7g7205
ko00195	CP1g1139
ko00195	CP3g3050
ko00195	CP4g3615
ko00195	CP3g3449
ko00195	CP10g8277
ko00195	CP1g909
ko00195	CP11g7751
ko00195	CP9g7621
ko00195	CP6g5489
ko00195	CP4g4465
ko00195	CP11g7770
ko00195	CP1g816
ko00195	CP4g4466
ko00195	CP1g172
ko00195	CP2g2484
ko00195	CP11g8004
ko00195	CP1g1319
ko00195	CP1g1159
ko05022	CP7g7116
ko05017	CP7g7116
ko03050	CP7g7116
ko05020	CP7g7116
ko05012	CP7g7116
ko05014	CP7g7116
ko05016	CP7g7116
ko05010	CP7g7116
ko05022	CP16g10045
ko05017	CP16g10045
ko03050	CP16g10045
ko05020	CP16g10045
ko05012	CP16g10045
ko05014	CP16g10045
ko05016	CP16g10045
ko05010	CP16g10045
ko05012	CP11g8124
ko05017	CP11g8124
ko05010	CP11g8124
ko05014	CP11g8124
ko05016	CP11g8124
ko05022	CP11g8124
ko03050	CP11g8124
ko05020	CP11g8124
ko05016	CP5g5147
ko05010	CP5g5147
ko05022	CP5g5147
ko05014	CP5g5147
ko05017	CP5g5147
ko03050	CP5g5147
ko05020	CP5g5147
ko05012	CP5g5147
ko05014	CP5g4887
ko05010	CP5g4887
ko05022	CP5g4887
ko05012	CP5g4887
ko05017	CP5g4887
ko03050	CP5g4887
ko05016	CP5g4887
ko05020	CP5g4887
ko05014	CP5g4886
ko05010	CP5g4886
ko05022	CP5g4886
ko05012	CP5g4886
ko05017	CP5g4886
ko03050	CP5g4886
ko05016	CP5g4886
ko05020	CP5g4886
ko05014	CP10g8493
ko05016	CP10g8493
ko05010	CP10g8493
ko05020	CP10g8493
ko05017	CP10g8493
ko03050	CP10g8493
ko05022	CP10g8493
ko05012	CP10g8493
ko03050	CP16g10111
ko05022	CP16g10111
ko05010	CP16g10111
ko05016	CP16g10111
ko05012	CP16g10111
ko05020	CP16g10111
ko05017	CP16g10111
ko05014	CP16g10111
ko03050	CP1g970
ko05012	CP1g970
ko05010	CP1g970
ko05016	CP1g970
ko05017	CP1g970
ko05020	CP1g970
ko05014	CP1g970
ko05022	CP1g970
ko05017	CP2g1837
ko05020	CP2g1837
ko05010	CP2g1837
ko05012	CP2g1837
ko05014	CP2g1837
ko05016	CP2g1837
ko03050	CP2g1837
ko05022	CP2g1837
ko05017	CP2g1836
ko05020	CP2g1836
ko05010	CP2g1836
ko05012	CP2g1836
ko05014	CP2g1836
ko05016	CP2g1836
ko03050	CP2g1836
ko05022	CP2g1836
ko05020	CP4g4065
ko05016	CP4g4065
ko05022	CP4g4065
ko05017	CP4g4065
ko05012	CP4g4065
ko05010	CP4g4065
ko03050	CP4g4065
ko05014	CP4g4065
ko05020	CP4g4296
ko05016	CP4g4296
ko05022	CP4g4296
ko05017	CP4g4296
ko05012	CP4g4296
ko05010	CP4g4296
ko03050	CP4g4296
ko05014	CP4g4296
ko05014	CP1g667
ko05020	CP1g667
ko05016	CP1g667
ko05012	CP1g667
ko03050	CP1g667
ko05017	CP1g667
ko05022	CP1g667
ko05010	CP1g667
ko05020	CP7g7196
ko05022	CP7g7196
ko05010	CP7g7196
ko05012	CP7g7196
ko03050	CP7g7196
ko05014	CP7g7196
ko05017	CP7g7196
ko05016	CP7g7196
ko05010	CP4g3684
ko05022	CP4g3684
ko05014	CP4g3684
ko03050	CP4g3684
ko05020	CP4g3684
ko05017	CP4g3684
ko05012	CP4g3684
ko05016	CP4g3684
ko05016	CP7g7139
ko03050	CP7g7139
ko05020	CP7g7139
ko05017	CP7g7139
ko05010	CP7g7139
ko05014	CP7g7139
ko05012	CP7g7139
ko05022	CP7g7139
ko05016	CP8g6278
ko03050	CP8g6278
ko05020	CP8g6278
ko05017	CP8g6278
ko05010	CP8g6278
ko05014	CP8g6278
ko05012	CP8g6278
ko05022	CP8g6278
ko05016	CP7g6835
ko05014	CP7g6835
ko03050	CP7g6835
ko05017	CP7g6835
ko05012	CP7g6835
ko05010	CP7g6835
ko05020	CP7g6835
ko05022	CP7g6835
ko04218	CP8g6165
ko04111	CP8g6165
ko04113	CP8g6165
ko03010	CP10g8479
ko03010	CP5g4601
ko03010	CP15g9881
ko03010	CP6g5759
ko05171	CP6g5759
ko03010	CP10g8590
ko05171	CP10g8590
ko05171	CP9g7680
ko03010	CP9g7680
ko03010	CP6g5714
ko03010	CP2g2420
ko05171	CP8g6627
ko03010	CP8g6627
ko03010	CP11g8069
ko05171	CP11g8069
ko03010	CP14g9357
ko03010	CP2g1722
ko03010	CP5g5152
ko05171	CP5g5152
ko03010	CP4g3947
ko05171	CP4g3947
ko05171	CP3g2789
ko03010	CP3g2789
ko03010	CP2g2354
ko03010	CP7g6847
ko03010	CP4g4372
ko05171	CP4g4372
ko03010	CP5g5121
ko03010	CP6g5985
ko03010	CP10g8537
ko05171	CP10g8537
ko03010	CP1g664
ko03010	CP8g6300
ko03010	CP2g1572
ko05171	CP2g1572
ko03010	CP12g8717
ko05171	CP12g8717
ko03010	CP15g9964
ko05171	CP10g8381
ko03010	CP10g8381
ko05171	CP16g10075
ko03010	CP16g10075
ko03010	CP3g3137
ko03010	CP3g3391
ko03010	CP7g7223
ko03010	CP4g4370
ko05171	CP1g1366
ko03010	CP1g1366
ko03010	CP6g6117
ko03010	CP13g9234
ko03010	CP6g5897
ko05171	CP6g5897
ko05171	CP15g9897
ko03010	CP15g9897
ko03010	CP14g9431
ko03010	CP16g10115
ko05171	CP1g182
ko03010	CP1g182
ko05171	CP1g474
ko03010	CP1g474
ko03010	CP13g9147
ko05171	CP3g3369
ko03010	CP3g3369
ko03010	CP1g777
ko03010	CP7g7127
ko03010	CP3g2920
ko05171	CP3g2920
ko03010	CP10g8627
ko05171	CP10g8627
ko03010	CP11g7777
ko03010	CP2g2509
ko05171	CP5g4706
ko03010	CP5g4706
ko03010	CP9g7638
ko05171	CP9g7638
ko03010	CP1g999
ko03010	CP5g5344
ko03010	CP11g8163
ko03010	CP9g7674
ko05171	CP9g7674
ko03010	CP2g2150
ko03010	CP10g8628
ko05171	CP10g8628
ko05171	CP1g1133
ko03010	CP1g1133
ko03010	CP1g978
ko03010	CP4g4416
ko03010	CP4g4389
ko03010	CP1g661
ko05171	CP1g661
ko03010	CP6g5434
ko03010	CP7g6714
ko05171	CP7g6714
ko05171	CP2g1557
ko03010	CP2g1557
ko05171	CP10g8598
ko03010	CP10g8598
ko05171	CP2g2495
ko03010	CP2g2495
ko03010	CP15g9880
ko05171	CP15g9880
ko03010	CP3g2803
ko05171	CP3g2803
ko05171	CP5g5254
ko03010	CP5g5254
ko03010	CP11g8045
ko05171	CP11g8045
ko03010	CP5g4677
ko03010	CP10g8514
ko05131	CP5g4987
ko05167	CP5g4987
ko05022	CP5g4987
ko05171	CP5g4987
ko04120	CP5g4987
ko03010	CP5g4987
ko04137	CP5g4987
ko05012	CP5g4987
ko05131	CP5g5024
ko05167	CP5g5024
ko05022	CP5g5024
ko05171	CP5g5024
ko04120	CP5g5024
ko03010	CP5g5024
ko04137	CP5g5024
ko05012	CP5g5024
ko05131	CP1g719
ko05167	CP1g719
ko05022	CP1g719
ko05171	CP1g719
ko04120	CP1g719
ko03010	CP1g719
ko04137	CP1g719
ko05012	CP1g719
ko03010	CP1g1311
ko05171	CP1g1311
ko03010	CP6g5682
ko05171	CP6g5682
ko03010	CP12g8780
ko05171	CP12g8780
ko03010	CP7g6677
ko03010	CP7g6723
ko05171	CP7g6723
ko03010	CP7g6724
ko05171	CP7g6724
ko03010	CP9g7661
ko05171	CP1g896
ko03010	CP1g896
ko03010	CP12g8713
ko05171	CP12g8713
ko03010	CP11g7901
ko05171	CP11g7901
ko03010	CP3g3313
ko03010	CP5g5339
ko03010	CP8g6283
ko05171	CP8g6283
ko03010	CP1g768
ko05171	CP1g768
ko03010	CP3g2665
ko05171	CP3g2665
ko03010	CP7g6679
ko05171	CP7g6679
ko03010	CP8g6475
ko03010	CP4g3613
ko03010	CP2g2089
ko03010	CP1g976
ko05171	CP14g9621
ko03010	CP14g9621
ko05171	CP12g8833
ko03010	CP12g8833
ko03010	CP5g4826
ko05171	CP5g4826
ko03010	CP3g3217
ko05171	CP15g9967
ko03010	CP15g9967
ko05171	CP1g794
ko03010	CP1g794
ko05171	CP5g4803
ko03010	CP5g4803
ko03010	CP8g6494
ko03010	CP2g1723
ko05171	CP9g7249
ko03010	CP9g7249
ko05171	CP7g6918
ko03010	CP7g6918
ko03010	CP11g7912
ko03010	CP8g6241
ko05171	CP11g7752
ko03010	CP11g7752
ko05171	CP3g2713
ko03010	CP3g2713
ko05171	CP2g2306
ko03010	CP2g2306
ko05171	CP14g9589
ko03010	CP14g9589
ko03010	CP3g3125
ko03010	CP14g9378
ko05171	CP16g10094
ko03010	CP16g10094
ko03010	CP6g5469
ko03010	CP1g674
ko05171	CP1g674
ko05171	CP5g5115
ko03010	CP5g5115
ko03010	CP2g2541
ko03010	CP10g8668
ko05171	CP10g8668
ko03010	CP1g1103
ko05171	CP3g2635
ko03010	CP3g2635
ko05171	CP11g7759
ko03010	CP11g7759
ko05171	CP14g9580
ko03010	CP14g9580
ko05171	CP9g7673
ko03010	CP9g7673
ko03010	CP7g6854
ko05171	CP7g6854
ko05012	CP3g2885
ko03010	CP3g2885
ko04137	CP3g2885
ko05171	CP3g2885
ko05022	CP3g2885
ko04120	CP3g2885
ko05131	CP3g2885
ko05167	CP3g2885
ko05171	CP2g2413
ko03010	CP2g2413
ko03010	CP9g7527
ko05171	CP9g7527
ko03010	CP6g6106
ko05171	CP6g6106
ko03010	CP6g5847
ko05171	CP6g5847
ko03010	CP6g5846
ko05171	CP6g5846
ko05130	CP9g7667
ko05171	CP9g7667
ko05132	CP9g7667
ko03010	CP9g7667
ko05130	CP1g1508
ko05171	CP1g1508
ko05132	CP1g1508
ko03010	CP1g1508
ko03010	CP1g737
ko05171	CP1g737
ko03010	CP2g2501
ko03010	CP11g8043
ko05171	CP16g10118
ko03010	CP16g10118
ko03010	CP8g6577
ko03010	CP2g2276
ko04151	CP11g7938
ko04066	CP11g7938
ko05171	CP11g7938
ko04910	CP11g7938
ko04371	CP11g7938
ko03010	CP11g7938
ko04150	CP11g7938
ko05205	CP11g7938
ko01521	CP11g7938
ko04714	CP11g7938
ko05171	CP12g8756
ko03010	CP12g8756
ko03010	CP4g3784
ko05171	CP4g3784
ko03010	CP6g6130
ko05171	CP5g5220
ko03010	CP5g5220
ko05171	CP5g5052
ko03010	CP5g5052
ko03020	CP2g2004
ko03020	CP14g9407
ko03020	CP1g651
ko03020	CP11g8016
ko03020	CP3g3442
ko03020	CP4g3586
ko05016	CP4g3586
ko03020	CP3g2625
ko05016	CP3g2625
ko03020	CP12g8979
ko05016	CP12g8979
ko03020	CP5g4911
ko05016	CP5g4911
ko03020	CP1g1273
ko05016	CP1g1273
ko03020	CP5g5032
ko05016	CP5g5032
ko03020	CP6g5767
ko05016	CP6g5767
ko03020	CP7g7120
ko05016	CP7g7120
ko03020	CP2g2220
ko05016	CP2g2220
ko05016	CP1g1057
ko03020	CP1g1057
ko03020	CP4g3914
ko05016	CP4g3914
ko03020	CP2g2245
ko05016	CP2g2245
ko05016	CP11g8162
ko03020	CP11g8162
ko04623	CP7g6827
ko03020	CP7g6827
ko05016	CP7g6827
ko05016	CP4g4097
ko03020	CP4g4097
ko05016	CP4g4380
ko03020	CP4g4380
