List_number	Accuracy	Model	Num	Gene
21	0.926984127	Lasso + Enet[0.6]	28	"OG0000059,OG0000072,OG0000277,OG0000327,OG0000355,OG0000358,OG0000393,OG0000441,OG0000566,OG0000573,OG0000581,OG0000656,OG0000713,OG0000749,OG0000928,OG0000964,OG0000977,OG0000024,OG0000274,OG0000530,OG0000691,OG0000790,OG0000971,OG0000285,OG0000471,OG0000527,OG0000129,OG0000598"
22	0.926984127	Lasso + Enet[0.7]	28	"OG0000059,OG0000277,OG0000355,OG0000358,OG0000393,OG0000441,OG0000566,OG0000573,OG0000656,OG0000749,OG0000928,OG0000964,OG0000977,OG0000024,OG0000274,OG0000327,OG0000581,OG0000691,OG0000713,OG0000971,OG0000072,OG0000285,OG0000471,OG0000527,OG0000790,OG0000129,OG0000530,OG0000598"
23	0.926984127	Lasso + Enet[0.8]	28	"OG0000059,OG0000277,OG0000355,OG0000358,OG0000393,OG0000441,OG0000566,OG0000573,OG0000656,OG0000749,OG0000964,OG0000977,OG0000024,OG0000072,OG0000274,OG0000327,OG0000581,OG0000691,OG0000713,OG0000928,OG0000971,OG0000285,OG0000471,OG0000527,OG0000790,OG0000129,OG0000530,OG0000598"
24	0.926984127	Lasso + KNN	28	"OG0000024,OG0000059,OG0000072,OG0000129,OG0000274,OG0000277,OG0000285,OG0000327,OG0000355,OG0000358,OG0000393,OG0000441,OG0000471,OG0000527,OG0000530,OG0000566,OG0000573,OG0000581,OG0000598,OG0000656,OG0000691,OG0000713,OG0000749,OG0000790,OG0000928,OG0000964,OG0000971,OG0000977"
25	0.92	glmboost + SVM	50	"OG0000037,OG0000043,OG0000058,OG0000102,OG0000162,OG0000189,OG0000195,OG0000213,OG0000233,OG0000252,OG0000285,OG0000299,OG0000311,OG0000324,OG0000377,OG0000393,OG0000441,OG0000448,OG0000477,OG0000494,OG0000552,OG0000576,OG0000633,OG0000749,OG0000804,OG0000821,OG0000859,OG0000930,OG0001005,OG0001150,OG0001204,OG0001410,OG0001418,OG0001426,OG0001552,OG0001766,OG0001799,OG0001813,OG0001817,OG0002118,OG0002662,OG0002925,OG0002966,OG0003084,OG0003430,OG0003473,OG0003510,OG0003820,OG0004564,OG0007006"
26	0.92	glmboost + Enet[0.1]	50	"OG0000037,OG0000043,OG0000058,OG0000102,OG0000162,OG0000189,OG0000195,OG0000213,OG0000233,OG0000252,OG0000285,OG0000299,OG0000311,OG0000324,OG0000377,OG0000393,OG0000441,OG0000448,OG0000477,OG0000494,OG0000552,OG0000576,OG0000633,OG0000749,OG0000804,OG0000821,OG0000859,OG0000930,OG0001005,OG0001150,OG0001204,OG0001410,OG0001418,OG0001426,OG0001552,OG0001766,OG0001799,OG0001813,OG0001817,OG0002118,OG0002662,OG0002925,OG0002966,OG0003084,OG0003473,OG0003510,OG0003820,OG0004564,OG0007006,OG0003430"
27	0.92	RandomForest + Ridge	200	"OG0001490,OG0003620,OG0000656,OG0005916,OG0000393,OG0001426,OG0000060,OG0000119,OG0002966,OG0004269,OG0001925,OG0000233,OG0000749,OG0000366,OG0000468,OG0003825,OG0000573,OG0001026,OG0000037,OG0001547,OG0003510,OG0005180,OG0004930,OG0004413,OG0001766,OG0006188,OG0000736,OG0004651,OG0000657,OG0003473,OG0001327,OG0001410,OG0006455,OG0000377,OG0004803,OG0001125,OG0000059,OG0000137,OG0000018,OG0001150,OG0005093,OG0000359,OG0000358,OG0002867,OG0000477,OG0004448,OG0000942,OG0002433,OG0000043,OG0000069,OG0007393,OG0000285,OG0000244,OG0000879,OG0000674,OG0005769,OG0005492,OG0000053,OG0000552,OG0003454,OG0005195,OG0001204,OG0000311,OG0002118,OG0007184,OG0004564,OG0001552,OG0000277,OG0004514,OG0000828,OG0000746,OG0002892,OG0002104,OG0006314,OG0001183,OG0011500,OG0000441,OG0003482,OG0001176,OG0002506,OG0011450,OG0000267,OG0004221,OG0020440,OG0000245,OG0000388,OG0013183,OG0005459,OG0005679,OG0003084,OG0000507,OG0009080,OG0001403,OG0005314,OG0000045,OG0001016,OG0000213,OG0012186,OG0005830,OG0007417,OG0004893,OG0003820,OG0000096,OG0006727,OG0001310,OG0006160,OG0006312,OG0005772,OG0001249,OG0004792,OG0004412,OG0003450,OG0004163,OG0003033,OG0008225,OG0000355,OG0004145,OG0007622,OG0000164,OG0005948,OG0005417,OG0007824,OG0006506,OG0006221,OG0000287,OG0004671,OG0006355,OG0000071,OG0009077,OG0004041,OG0006456,OG0001068,OG0008996,OG0009516,OG0000162,OG0000476,OG0001916,OG0005080,OG0012457,OG0001817,OG0000861,OG0000011,OG0005201,OG0000088,OG0005413,OG0006565,OG0001369,OG0000067,OG0003504,OG0004720,OG0012809,OG0006653,OG0005419,OG0012428,OG0003746,OG0001110,OG0000058,OG0000102,OG0000595,OG0002482,OG0006847,OG0000286,OG0004788,OG0006988,OG0000448,OG0003998,OG0006346,OG0010006,OG0007196,OG0000373,OG0000688,OG0000713,OG0001178,OG0011451,OG0012473,OG0011492,OG0005067,OG0005552,OG0010708,OG0000345,OG0004782,OG0004785,OG0000252,OG0006026,OG0009099,OG0001450,OG0000459,OG0001799,OG0007396,OG0005217,OG0010068,OG0005096,OG0004805,OG0000396,OG0001457,OG0000258,OG0006696,OG0003556,OG0001270,OG0000144"
28	0.92	RandomForest + plsRglm	200	"OG0001490,OG0003620,OG0000656,OG0005916,OG0000393,OG0001426,OG0000060,OG0000119,OG0002966,OG0004269,OG0001925,OG0000233,OG0000749,OG0000366,OG0000468,OG0003825,OG0000573,OG0001026,OG0000037,OG0001547,OG0003510,OG0005180,OG0004930,OG0004413,OG0001766,OG0006188,OG0000736,OG0004651,OG0000657,OG0003473,OG0001327,OG0001410,OG0006455,OG0000377,OG0004803,OG0001125,OG0000059,OG0000137,OG0000018,OG0001150,OG0005093,OG0000359,OG0000358,OG0002867,OG0000477,OG0004448,OG0000942,OG0002433,OG0000043,OG0000069,OG0007393,OG0000285,OG0000244,OG0000879,OG0000674,OG0005769,OG0005492,OG0000053,OG0000552,OG0003454,OG0005195,OG0001204,OG0000311,OG0002118,OG0007184,OG0004564,OG0001552,OG0000277,OG0004514,OG0000828,OG0000746,OG0002892,OG0002104,OG0006314,OG0001183,OG0011500,OG0000441,OG0003482,OG0001176,OG0002506,OG0011450,OG0000267,OG0004221,OG0020440,OG0000245,OG0000388,OG0013183,OG0005459,OG0005679,OG0003084,OG0000507,OG0009080,OG0001403,OG0005314,OG0000045,OG0001016,OG0000213,OG0012186,OG0005830,OG0007417,OG0004893,OG0003820,OG0000096,OG0006727,OG0001310,OG0006160,OG0006312,OG0005772,OG0001249,OG0004792,OG0004412,OG0003450,OG0004163,OG0003033,OG0008225,OG0000355,OG0004145,OG0007622,OG0000164,OG0005948,OG0005417,OG0007824,OG0006506,OG0006221,OG0000287,OG0004671,OG0006355,OG0000071,OG0009077,OG0004041,OG0006456,OG0001068,OG0008996,OG0009516,OG0000162,OG0000476,OG0001916,OG0005080,OG0012457,OG0001817,OG0000861,OG0000011,OG0005201,OG0000088,OG0005413,OG0006565,OG0001369,OG0000067,OG0003504,OG0004720,OG0012809,OG0006653,OG0005419,OG0012428,OG0003746,OG0001110,OG0000058,OG0000102,OG0000595,OG0002482,OG0006847,OG0000286,OG0004788,OG0006988,OG0000448,OG0003998,OG0006346,OG0010006,OG0007196,OG0000373,OG0000688,OG0000713,OG0001178,OG0011451,OG0012473,OG0011492,OG0005067,OG0005552,OG0010708,OG0000345,OG0004782,OG0004785,OG0000252,OG0006026,OG0009099,OG0001450,OG0000459,OG0001799,OG0007396,OG0005217,OG0010068,OG0005096,OG0004805,OG0000396,OG0001457,OG0000258,OG0006696,OG0003556,OG0001270,OG0000144"
29	0.92	RandomForest + Enet[0.5]	108	"OG0001490,OG0003620,OG0005916,OG0000393,OG0001426,OG0000060,OG0002966,OG0001925,OG0000468,OG0003510,OG0004930,OG0004413,OG0006188,OG0004651,OG0003473,OG0001327,OG0006455,OG0000377,OG0004803,OG0001125,OG0005093,OG0004448,OG0007393,OG0000244,OG0005769,OG0000311,OG0002118,OG0004564,OG0004514,OG0003482,OG0011450,OG0013183,OG0005679,OG0003084,OG0001016,OG0012186,OG0003820,OG0006727,OG0006312,OG0005772,OG0001249,OG0004412,OG0004163,OG0007622,OG0006355,OG0000071,OG0006456,OG0012457,OG0012809,OG0012428,OG0001110,OG0006346,OG0000713,OG0011451,OG0011492,OG0010708,OG0006026,OG0010068,OG0005096,OG0000396,OG0001457,OG0000656,OG0000749,OG0000573,OG0000037,OG0005180,OG0001766,OG0000043,OG0005492,OG0000552,OG0005195,OG0001204,OG0007184,OG0011500,OG0020440,OG0000213,OG0007417,OG0006160,OG0008225,OG0006506,OG0000058,OG0000102,OG0006847,OG0006988,OG0001178,OG0001450,OG0001799,OG0004792,OG0000355,OG0007824,OG0001068,OG0001817,OG0003746,OG0000233,OG0001547,OG0001150,OG0000053,OG0004041,OG0005413,OG0001369,OG0006653,OG0010006,OG0000657,OG0000828,OG0001916,OG0000448,OG0004782,OG0000252"
30	0.92	RandomForest + Enet[0.3]	141	"OG0001490,OG0003620,OG0005916,OG0000393,OG0001426,OG0000060,OG0002966,OG0004269,OG0001925,OG0000749,OG0000468,OG0003825,OG0001026,OG0001547,OG0003510,OG0005180,OG0004930,OG0004413,OG0001766,OG0006188,OG0004651,OG0003473,OG0001327,OG0001410,OG0006455,OG0000377,OG0004803,OG0001125,OG0000018,OG0005093,OG0004448,OG0007393,OG0000244,OG0005769,OG0003454,OG0005195,OG0000311,OG0002118,OG0007184,OG0004564,OG0004514,OG0000746,OG0002104,OG0000441,OG0003482,OG0001176,OG0011450,OG0020440,OG0013183,OG0005679,OG0003084,OG0001016,OG0012186,OG0003820,OG0006727,OG0006312,OG0005772,OG0001249,OG0004792,OG0004412,OG0004163,OG0008225,OG0007622,OG0005417,OG0006221,OG0006355,OG0000071,OG0006456,OG0009516,OG0000162,OG0012457,OG0012809,OG0005419,OG0012428,OG0003746,OG0001110,OG0000595,OG0006346,OG0000373,OG0000713,OG0011451,OG0011492,OG0010708,OG0000345,OG0006026,OG0001450,OG0001799,OG0010068,OG0005096,OG0004805,OG0000396,OG0001457,OG0000656,OG0000233,OG0000573,OG0000037,OG0000736,OG0000657,OG0000942,OG0000043,OG0000285,OG0005492,OG0000053,OG0000552,OG0001204,OG0000277,OG0011500,OG0000045,OG0000213,OG0007417,OG0006160,OG0000355,OG0007824,OG0006506,OG0004041,OG0001068,OG0001916,OG0001817,OG0005201,OG0001369,OG0000058,OG0000102,OG0006847,OG0006988,OG0000448,OG0010006,OG0001178,OG0004782,OG0000252,OG0001150,OG0000507,OG0000088,OG0005413,OG0003556,OG0002867,OG0003450,OG0004145,OG0006653,OG0006696,OG0000828,OG0002506"
31	0.92	RandomForest + Enet[0.2]	160	"OG0001490,OG0003620,OG0005916,OG0000393,OG0001426,OG0000060,OG0002966,OG0004269,OG0001925,OG0000749,OG0000468,OG0003825,OG0000573,OG0001026,OG0001547,OG0003510,OG0005180,OG0004930,OG0004413,OG0001766,OG0006188,OG0000736,OG0004651,OG0003473,OG0001327,OG0001410,OG0006455,OG0000377,OG0004803,OG0001125,OG0000059,OG0000018,OG0005093,OG0000359,OG0004448,OG0000043,OG0007393,OG0000244,OG0000879,OG0005769,OG0003454,OG0005195,OG0001204,OG0000311,OG0002118,OG0007184,OG0004564,OG0000277,OG0004514,OG0000828,OG0000746,OG0002104,OG0006314,OG0000441,OG0003482,OG0001176,OG0011450,OG0020440,OG0013183,OG0005679,OG0003084,OG0009080,OG0000045,OG0001016,OG0000213,OG0012186,OG0005830,OG0003820,OG0006727,OG0006160,OG0006312,OG0005772,OG0001249,OG0004792,OG0004412,OG0004163,OG0008225,OG0007622,OG0005417,OG0006221,OG0006355,OG0000071,OG0006456,OG0001068,OG0008996,OG0009516,OG0000162,OG0005080,OG0012457,OG0003504,OG0012809,OG0005419,OG0012428,OG0003746,OG0001110,OG0000058,OG0000595,OG0000286,OG0000448,OG0006346,OG0007196,OG0000373,OG0000713,OG0011451,OG0011492,OG0010708,OG0000345,OG0004782,OG0000252,OG0006026,OG0001450,OG0001799,OG0007396,OG0010068,OG0005096,OG0004805,OG0000396,OG0001457,OG0000656,OG0000233,OG0000037,OG0000657,OG0001150,OG0000358,OG0000942,OG0000285,OG0005492,OG0000053,OG0000552,OG0001552,OG0011500,OG0007417,OG0000355,OG0007824,OG0006506,OG0004041,OG0001916,OG0001817,OG0005201,OG0000088,OG0005413,OG0001369,OG0000102,OG0006847,OG0006988,OG0010006,OG0001178,OG0002506,OG0000507,OG0004145,OG0003556,OG0002867,OG0002433,OG0005314,OG0003450,OG0003033,OG0006653,OG0005217,OG0006696,OG0000366"
32	0.92	RandomForest + Enet[0.1]	181	"OG0001490,OG0003620,OG0005916,OG0000393,OG0001426,OG0000060,OG0000119,OG0002966,OG0004269,OG0001925,OG0000233,OG0000749,OG0000366,OG0000468,OG0003825,OG0000573,OG0001026,OG0001547,OG0003510,OG0005180,OG0004930,OG0004413,OG0001766,OG0006188,OG0000736,OG0004651,OG0000657,OG0003473,OG0001327,OG0001410,OG0006455,OG0000377,OG0004803,OG0001125,OG0000059,OG0000018,OG0005093,OG0000359,OG0000477,OG0004448,OG0000942,OG0002433,OG0000043,OG0000069,OG0007393,OG0000285,OG0000244,OG0000879,OG0005769,OG0000552,OG0003454,OG0005195,OG0001204,OG0000311,OG0002118,OG0007184,OG0004564,OG0000277,OG0004514,OG0000828,OG0000746,OG0002104,OG0006314,OG0011500,OG0000441,OG0003482,OG0001176,OG0011450,OG0020440,OG0000388,OG0013183,OG0005459,OG0005679,OG0003084,OG0009080,OG0005314,OG0000045,OG0001016,OG0000213,OG0012186,OG0005830,OG0003820,OG0000096,OG0006727,OG0006160,OG0006312,OG0005772,OG0001249,OG0004792,OG0004412,OG0004163,OG0008225,OG0000355,OG0007622,OG0005417,OG0007824,OG0006506,OG0006221,OG0004671,OG0006355,OG0000071,OG0009077,OG0006456,OG0001068,OG0008996,OG0009516,OG0000162,OG0005080,OG0012457,OG0000088,OG0001369,OG0003504,OG0012809,OG0005419,OG0012428,OG0003746,OG0001110,OG0000058,OG0000595,OG0006847,OG0000286,OG0004788,OG0006988,OG0000448,OG0006346,OG0010006,OG0007196,OG0000373,OG0000688,OG0000713,OG0001178,OG0011451,OG0012473,OG0011492,OG0005067,OG0010708,OG0000345,OG0004782,OG0000252,OG0006026,OG0009099,OG0001450,OG0001799,OG0007396,OG0005217,OG0010068,OG0005096,OG0004805,OG0000396,OG0001457,OG0000144,OG0000656,OG0000037,OG0001150,OG0000358,OG0005492,OG0000053,OG0001552,OG0002506,OG0004221,OG0000507,OG0007417,OG0003033,OG0004145,OG0004041,OG0001916,OG0001817,OG0000011,OG0005201,OG0005413,OG0006653,OG0000102,OG0003556,OG0000674,OG0002867,OG0002892,OG0001183,OG0004893,OG0003450,OG0006696,OG0006565"
33	0.92	glmboost + Enet[0.3]	50	"OG0000037,OG0000043,OG0000058,OG0000162,OG0000213,OG0000233,OG0000252,OG0000285,OG0000299,OG0000311,OG0000324,OG0000377,OG0000393,OG0000441,OG0000448,OG0000477,OG0000494,OG0000552,OG0000576,OG0000633,OG0000749,OG0000804,OG0000859,OG0000930,OG0001005,OG0001150,OG0001204,OG0001410,OG0001426,OG0001552,OG0001766,OG0001799,OG0001813,OG0001817,OG0002118,OG0002662,OG0002925,OG0002966,OG0003084,OG0003473,OG0003510,OG0003820,OG0004564,OG0000102,OG0000195,OG0001418,OG0007006,OG0000821,OG0003430,OG0000189"
34	0.92	glmboost + Enet[0.4]	50	"OG0000043,OG0000058,OG0000162,OG0000213,OG0000233,OG0000252,OG0000311,OG0000324,OG0000377,OG0000393,OG0000441,OG0000448,OG0000477,OG0000494,OG0000552,OG0000576,OG0000633,OG0000749,OG0000804,OG0000859,OG0000930,OG0001005,OG0001150,OG0001204,OG0001410,OG0001426,OG0001766,OG0001799,OG0001813,OG0002118,OG0002662,OG0002925,OG0002966,OG0003084,OG0003473,OG0003510,OG0003820,OG0004564,OG0000037,OG0000102,OG0000195,OG0000285,OG0000299,OG0001418,OG0001552,OG0001817,OG0007006,OG0000821,OG0003430,OG0000189"
35	0.92	glmboost + Enet[0.5]	50	"OG0000043,OG0000058,OG0000162,OG0000213,OG0000233,OG0000252,OG0000311,OG0000324,OG0000377,OG0000393,OG0000441,OG0000448,OG0000477,OG0000494,OG0000552,OG0000576,OG0000633,OG0000749,OG0000804,OG0000859,OG0000930,OG0001005,OG0001204,OG0001410,OG0001426,OG0001766,OG0001799,OG0001813,OG0002118,OG0002662,OG0002925,OG0002966,OG0003084,OG0003473,OG0003510,OG0003820,OG0004564,OG0000037,OG0000102,OG0000285,OG0000299,OG0001418,OG0001552,OG0001817,OG0007006,OG0000821,OG0001150,OG0003430,OG0000195,OG0000189"
36	0.92	glmboost + Enet[0.6]	50	"OG0000058,OG0000162,OG0000213,OG0000252,OG0000311,OG0000324,OG0000377,OG0000393,OG0000441,OG0000448,OG0000477,OG0000576,OG0000633,OG0000749,OG0000804,OG0000859,OG0000930,OG0001005,OG0001204,OG0001410,OG0001426,OG0001766,OG0001799,OG0001813,OG0002118,OG0002662,OG0002925,OG0002966,OG0003084,OG0003473,OG0003510,OG0003820,OG0004564,OG0000037,OG0000043,OG0000102,OG0000285,OG0000299,OG0000552,OG0001418,OG0001552,OG0001817,OG0007006,OG0000233,OG0001150,OG0003430,OG0000195,OG0000189,OG0000494,OG0000821"
37	0.92	glmboost + Enet[0.7]	50	"OG0000058,OG0000162,OG0000252,OG0000311,OG0000324,OG0000377,OG0000393,OG0000441,OG0000477,OG0000576,OG0000633,OG0000749,OG0000804,OG0000859,OG0000930,OG0001204,OG0001410,OG0001426,OG0001766,OG0001799,OG0001813,OG0002118,OG0002662,OG0002925,OG0002966,OG0003084,OG0003473,OG0003510,OG0003820,OG0004564,OG0000037,OG0000043,OG0000102,OG0000213,OG0000299,OG0000448,OG0000552,OG0001005,OG0001418,OG0001552,OG0001817,OG0007006,OG0000285,OG0001150,OG0003430,OG0000195,OG0000233,OG0000189,OG0000494,OG0000821"
38	0.919191919	RandomForest + GBM	800	"OG0000002,OG0000004,OG0000007,OG0000008,OG0000009,OG0000011,OG0000012,OG0000015,OG0000016,OG0000017,OG0000018,OG0000019,OG0000021,OG0000025,OG0000029,OG0000030,OG0000031,OG0000032,OG0000034,OG0000035,OG0000036,OG0000037,OG0000039,OG0000042,OG0000043,OG0000044,OG0000045,OG0000046,OG0000047,OG0000048,OG0000049,OG0000050,OG0000051,OG0000053,OG0000055,OG0000056,OG0000058,OG0000059,OG0000060,OG0000061,OG0000063,OG0000066,OG0000067,OG0000068,OG0000069,OG0000070,OG0000071,OG0000072,OG0000078,OG0000079,OG0000083,OG0000084,OG0000086,OG0000088,OG0000089,OG0000090,OG0000091,OG0000094,OG0000096,OG0000097,OG0000099,OG0000100,OG0000101,OG0000102,OG0000103,OG0000105,OG0000109,OG0000110,OG0000111,OG0000113,OG0000114,OG0000116,OG0000119,OG0000120,OG0000121,OG0000123,OG0000124,OG0000126,OG0000129,OG0000130,OG0000133,OG0000134,OG0000136,OG0000137,OG0000138,OG0000140,OG0000141,OG0000143,OG0000144,OG0000145,OG0000146,OG0000147,OG0000148,OG0000149,OG0000150,OG0000152,OG0000155,OG0000157,OG0000158,OG0000159,OG0000161,OG0000162,OG0000164,OG0000168,OG0000169,OG0000170,OG0000171,OG0000172,OG0000173,OG0000174,OG0000176,OG0000178,OG0000179,OG0000181,OG0000182,OG0000183,OG0000184,OG0000185,OG0000186,OG0000187,OG0000188,OG0000189,OG0000192,OG0000193,OG0000194,OG0000195,OG0000196,OG0000197,OG0000198,OG0000200,OG0000202,OG0000206,OG0000208,OG0000209,OG0000210,OG0000211,OG0000212,OG0000213,OG0000216,OG0000217,OG0000218,OG0000220,OG0000221,OG0000223,OG0000224,OG0000225,OG0000228,OG0000231,OG0000232,OG0000233,OG0000234,OG0000236,OG0000237,OG0000240,OG0000241,OG0000242,OG0000243,OG0000244,OG0000245,OG0000252,OG0000255,OG0000257,OG0000258,OG0000259,OG0000262,OG0000263,OG0000264,OG0000265,OG0000267,OG0000268,OG0000271,OG0000274,OG0000275,OG0000276,OG0000277,OG0000278,OG0000279,OG0000280,OG0000283,OG0000285,OG0000286,OG0000287,OG0000290,OG0000291,OG0000295,OG0000299,OG0000300,OG0000301,OG0000302,OG0000304,OG0000307,OG0000308,OG0000309,OG0000310,OG0000311,OG0000312,OG0000313,OG0000315,OG0000318,OG0000319,OG0000320,OG0000321,OG0000324,OG0000326,OG0000327,OG0000328,OG0000329,OG0000333,OG0000334,OG0000336,OG0000339,OG0000340,OG0000343,OG0000344,OG0000345,OG0000347,OG0000349,OG0000351,OG0000352,OG0000355,OG0000357,OG0000358,OG0000359,OG0000360,OG0000361,OG0000364,OG0000366,OG0000367,OG0000368,OG0000370,OG0000372,OG0000373,OG0000374,OG0000376,OG0000377,OG0000379,OG0000380,OG0000381,OG0000382,OG0000383,OG0000385,OG0000386,OG0000388,OG0000389,OG0000393,OG0000394,OG0000395,OG0000396,OG0000399,OG0000402,OG0000403,OG0000406,OG0000407,OG0000408,OG0000409,OG0000412,OG0000413,OG0000416,OG0000417,OG0000418,OG0000420,OG0000421,OG0000422,OG0000424,OG0000425,OG0000426,OG0000427,OG0000428,OG0000429,OG0000431,OG0000432,OG0000433,OG0000438,OG0000441,OG0000442,OG0000445,OG0000446,OG0000447,OG0000448,OG0000449,OG0000450,OG0000451,OG0000452,OG0000454,OG0000455,OG0000456,OG0000457,OG0000459,OG0000462,OG0000463,OG0000466,OG0000467,OG0000468,OG0000470,OG0000471,OG0000474,OG0000475,OG0000476,OG0000477,OG0000479,OG0000480,OG0000482,OG0000483,OG0000484,OG0000486,OG0000489,OG0000490,OG0000491,OG0000494,OG0000495,OG0000496,OG0000502,OG0000503,OG0000507,OG0000508,OG0000509,OG0000511,OG0000512,OG0000513,OG0000516,OG0000517,OG0000521,OG0000522,OG0000523,OG0000524,OG0000525,OG0000527,OG0000530,OG0000534,OG0000535,OG0000536,OG0000538,OG0000540,OG0000541,OG0000548,OG0000552,OG0000557,OG0000559,OG0000560,OG0000561,OG0000562,OG0000563,OG0000566,OG0000567,OG0000568,OG0000571,OG0000573,OG0000574,OG0000575,OG0000576,OG0000577,OG0000578,OG0000579,OG0000580,OG0000583,OG0000587,OG0000588,OG0000593,OG0000594,OG0000595,OG0000598,OG0000606,OG0000607,OG0000608,OG0000609,OG0000610,OG0000611,OG0000613,OG0000615,OG0000616,OG0000618,OG0000621,OG0000623,OG0000624,OG0000626,OG0000631,OG0000633,OG0000635,OG0000638,OG0000640,OG0000642,OG0000644,OG0000645,OG0000646,OG0000648,OG0000649,OG0000651,OG0000655,OG0000656,OG0000657,OG0000658,OG0000664,OG0000666,OG0000671,OG0000674,OG0000679,OG0000682,OG0000683,OG0000684,OG0000687,OG0000688,OG0000689,OG0000690,OG0000691,OG0000695,OG0000702,OG0000704,OG0000706,OG0000710,OG0000711,OG0000712,OG0000713,OG0000714,OG0000716,OG0000717,OG0000719,OG0000720,OG0000722,OG0000723,OG0000726,OG0000727,OG0000728,OG0000729,OG0000730,OG0000732,OG0000733,OG0000734,OG0000736,OG0000738,OG0000740,OG0000743,OG0000745,OG0000746,OG0000747,OG0000749,OG0000750,OG0000753,OG0000754,OG0000755,OG0000759,OG0000760,OG0000761,OG0000764,OG0000766,OG0000767,OG0000772,OG0000780,OG0000781,OG0000783,OG0000784,OG0000788,OG0000789,OG0000790,OG0000791,OG0000797,OG0000798,OG0000799,OG0000800,OG0000801,OG0000802,OG0000803,OG0000804,OG0000807,OG0000809,OG0000810,OG0000811,OG0000813,OG0000815,OG0000821,OG0000823,OG0000825,OG0000827,OG0000828,OG0000832,OG0000833,OG0000834,OG0000835,OG0000836,OG0000840,OG0000841,OG0000844,OG0000845,OG0000846,OG0000847,OG0000848,OG0000851,OG0000856,OG0000859,OG0000861,OG0000862,OG0000863,OG0000864,OG0000865,OG0000866,OG0000867,OG0000868,OG0000869,OG0000870,OG0000872,OG0000876,OG0000878,OG0000879,OG0000881,OG0000883,OG0000885,OG0000886,OG0000889,OG0000891,OG0000894,OG0000898,OG0000899,OG0000903,OG0000906,OG0000911,OG0000912,OG0000915,OG0000917,OG0000920,OG0000921,OG0000922,OG0000923,OG0000924,OG0000927,OG0000929,OG0000930,OG0000931,OG0000935,OG0000941,OG0000942,OG0000943,OG0000945,OG0000949,OG0000951,OG0000955,OG0000957,OG0000958,OG0000961,OG0000962,OG0000963,OG0000964,OG0000965,OG0000968,OG0000969,OG0000971,OG0000977,OG0000978,OG0000979,OG0000982,OG0000983,OG0000985,OG0000986,OG0000987,OG0000988,OG0000993,OG0000994,OG0000996,OG0000998,OG0001002,OG0001005,OG0001006,OG0001012,OG0001014,OG0001016,OG0001017,OG0001022,OG0001023,OG0001025,OG0001026,OG0001027,OG0001029,OG0001030,OG0001033,OG0001042,OG0001043,OG0001047,OG0001049,OG0001052,OG0001054,OG0001059,OG0001062,OG0001067,OG0001068,OG0001069,OG0001071,OG0001074,OG0001075,OG0001080,OG0001083,OG0001089,OG0001090,OG0001092,OG0001096,OG0001101,OG0001103,OG0001106,OG0001107,OG0001110,OG0001111,OG0001112,OG0001113,OG0001114,OG0001118,OG0001119,OG0001120,OG0001121,OG0001122,OG0001124,OG0001125,OG0001128,OG0001130,OG0001134,OG0001135,OG0001140,OG0001141,OG0001143,OG0001144,OG0001145,OG0001146,OG0001150,OG0001152,OG0001155,OG0001156,OG0001157,OG0001158,OG0001159,OG0001161,OG0001163,OG0001164,OG0001173,OG0001176,OG0001179,OG0001180,OG0001182,OG0001183,OG0001187,OG0001188,OG0001192,OG0001193,OG0001196,OG0001197,OG0001198,OG0001199,OG0001201,OG0001203,OG0001204,OG0001208,OG0001209,OG0001210,OG0001218,OG0001225,OG0001226,OG0001232,OG0001234,OG0001236,OG0001238,OG0001241,OG0001242,OG0001244,OG0001249,OG0001251,OG0001252,OG0001253,OG0001255,OG0001257,OG0001258,OG0001259,OG0001263,OG0001264,OG0001265,OG0001268,OG0001269,OG0001272,OG0001274,OG0001275,OG0001277,OG0001278,OG0001280,OG0001282,OG0001284,OG0001290,OG0001294,OG0001295,OG0001298,OG0001299,OG0001303,OG0001304,OG0001307,OG0001310,OG0001314,OG0001315,OG0001317,OG0001319,OG0001320,OG0001327,OG0001328,OG0001330,OG0001331,OG0001332,OG0001333,OG0001337,OG0001339,OG0001344,OG0001345,OG0001346,OG0001347,OG0001349,OG0001351,OG0001356,OG0001357,OG0001363,OG0001365,OG0001366,OG0001369,OG0001370,OG0001377,OG0001378,OG0001380,OG0001382,OG0001386,OG0001387,OG0001388,OG0001389,OG0001392,OG0001397,OG0001398,OG0001402,OG0001403,OG0001404,OG0001409,OG0001410,OG0001412,OG0001414,OG0001415,OG0001416,OG0001418,OG0001421,OG0001422,OG0001423,OG0001426,OG0001431,OG0001433,OG0001435,OG0001436,OG0001437,OG0001444,OG0001445,OG0001447,OG0001449,OG0001450,OG0001451,OG0001452,OG0001455,OG0001457,OG0001458,OG0001460,OG0001461,OG0001463,OG0001464,OG0001467,OG0001469,OG0001475,OG0001477,OG0001478,OG0001479,OG0001490,OG0001491,OG0001492,OG0001493,OG0001494,OG0001499,OG0001500,OG0001501,OG0001504,OG0001513,OG0001516,OG0001517,OG0001521,OG0001523,OG0001524,OG0001526,OG0001527,OG0001530,OG0001533,OG0001534,OG0001537,OG0001538,OG0001540,OG0001544,OG0001547,OG0001550,OG0001551,OG0001552,OG0001553,OG0001558,OG0001563,OG0001565,OG0001567,OG0001571,OG0001572,OG0001574"
