List_number	Accuracy	Model	Num	Gene
11	0.941428571	Lasso + Enet[0.1]	28	"OG0000059,OG0000072,OG0000277,OG0000327,OG0000355,OG0000358,OG0000393,OG0000441,OG0000471,OG0000530,OG0000566,OG0000573,OG0000581,OG0000656,OG0000691,OG0000713,OG0000749,OG0000928,OG0000964,OG0000971,OG0000977,OG0000024,OG0000129,OG0000274,OG0000285,OG0000598,OG0000790,OG0000527"
12	0.941428571	Lasso + NaiveBayes	28	"OG0000024,OG0000059,OG0000072,OG0000129,OG0000274,OG0000277,OG0000285,OG0000327,OG0000355,OG0000358,OG0000393,OG0000441,OG0000471,OG0000527,OG0000530,OG0000566,OG0000573,OG0000581,OG0000598,OG0000656,OG0000691,OG0000713,OG0000749,OG0000790,OG0000928,OG0000964,OG0000971,OG0000977"
13	0.937373737	Lasso + glmboost	28	"OG0000059,OG0000129,OG0000277,OG0000285,OG0000327,OG0000355,OG0000358,OG0000393,OG0000441,OG0000471,OG0000656,OG0000691,OG0000713,OG0000749,OG0000977,OG0001026,OG0001122,OG0001274,OG0001327,OG0001450,OG0001490,OG0001494,OG0001553,OG0001605,OG0001799,OG0001930"
14	0.933333333	Lasso + xGBoost	28	"OG0000024,OG0000059,OG0000072,OG0000129,OG0000274,OG0000277,OG0000285,OG0000327,OG0000355,OG0000358,OG0000393,OG0000441,OG0000471,OG0000527,OG0000530,OG0000566,OG0000573,OG0000581,OG0000598,OG0000656,OG0000691,OG0000713,OG0000749,OG0000790,OG0000928,OG0000964,OG0000971,OG0000977"
15	0.931428571	Lasso + Lasso	21	"OG0000277,OG0000355,OG0000566,OG0000573,OG0000656,OG0000749,OG0000977,OG0000971,OG0000024,OG0000059,OG0000274,OG0000327,OG0000358,OG0000393,OG0000527,OG0000713,OG0000129,OG0000471,OG0000530,OG0000441,OG0000691"
16	0.931428571	Lasso + SVM	28	"OG0000024,OG0000059,OG0000072,OG0000129,OG0000274,OG0000277,OG0000285,OG0000327,OG0000355,OG0000358,OG0000393,OG0000441,OG0000471,OG0000527,OG0000530,OG0000566,OG0000573,OG0000581,OG0000598,OG0000656,OG0000691,OG0000713,OG0000749,OG0000790,OG0000928,OG0000964,OG0000971,OG0000977"
17	0.931428571	Lasso + Enet[0.2]	28	"OG0000059,OG0000072,OG0000277,OG0000327,OG0000355,OG0000358,OG0000393,OG0000441,OG0000471,OG0000530,OG0000566,OG0000573,OG0000581,OG0000656,OG0000691,OG0000713,OG0000749,OG0000928,OG0000964,OG0000977,OG0000024,OG0000129,OG0000274,OG0000285,OG0000598,OG0000790,OG0000971,OG0000527"
18	0.931428571	RandomForest + LDA	200	"OG0001490,OG0003620,OG0000656,OG0005916,OG0000393,OG0001426,OG0000060,OG0000119,OG0002966,OG0004269,OG0001925,OG0000233,OG0000749,OG0000366,OG0000468,OG0003825,OG0000573,OG0001026,OG0000037,OG0001547,OG0003510,OG0005180,OG0004930,OG0004413,OG0001766,OG0006188,OG0000736,OG0004651,OG0000657,OG0003473,OG0001327,OG0001410,OG0006455,OG0000377,OG0004803,OG0001125,OG0000059,OG0000137,OG0000018,OG0001150,OG0005093,OG0000359,OG0000358,OG0002867,OG0000477,OG0004448,OG0000942,OG0002433,OG0000043,OG0000069,OG0007393,OG0000285,OG0000244,OG0000879,OG0000674,OG0005769,OG0005492,OG0000053,OG0000552,OG0003454,OG0005195,OG0001204,OG0000311,OG0002118,OG0007184,OG0004564,OG0001552,OG0000277,OG0004514,OG0000828,OG0000746,OG0002892,OG0002104,OG0006314,OG0001183,OG0011500,OG0000441,OG0003482,OG0001176,OG0002506,OG0011450,OG0000267,OG0004221,OG0020440,OG0000245,OG0000388,OG0013183,OG0005459,OG0005679,OG0003084,OG0000507,OG0009080,OG0001403,OG0005314,OG0000045,OG0001016,OG0000213,OG0012186,OG0005830,OG0007417,OG0004893,OG0003820,OG0000096,OG0006727,OG0001310,OG0006160,OG0006312,OG0005772,OG0001249,OG0004792,OG0004412,OG0003450,OG0004163,OG0003033,OG0008225,OG0000355,OG0004145,OG0007622,OG0000164,OG0005948,OG0005417,OG0007824,OG0006506,OG0006221,OG0000287,OG0004671,OG0006355,OG0000071,OG0009077,OG0004041,OG0006456,OG0001068,OG0008996,OG0009516,OG0000162,OG0000476,OG0001916,OG0005080,OG0012457,OG0001817,OG0000861,OG0000011,OG0005201,OG0000088,OG0005413,OG0006565,OG0001369,OG0000067,OG0003504,OG0004720,OG0012809,OG0006653,OG0005419,OG0012428,OG0003746,OG0001110,OG0000058,OG0000102,OG0000595,OG0002482,OG0006847,OG0000286,OG0004788,OG0006988,OG0000448,OG0003998,OG0006346,OG0010006,OG0007196,OG0000373,OG0000688,OG0000713,OG0001178,OG0011451,OG0012473,OG0011492,OG0005067,OG0005552,OG0010708,OG0000345,OG0004782,OG0004785,OG0000252,OG0006026,OG0009099,OG0001450,OG0000459,OG0001799,OG0007396,OG0005217,OG0010068,OG0005096,OG0004805,OG0000396,OG0001457,OG0000258,OG0006696,OG0003556,OG0001270,OG0000144"
19	0.931428571	RandomForest + xGBoost	200	"OG0001490,OG0003620,OG0000656,OG0005916,OG0000393,OG0001426,OG0000060,OG0000119,OG0002966,OG0004269,OG0001925,OG0000233,OG0000749,OG0000366,OG0000468,OG0003825,OG0000573,OG0001026,OG0000037,OG0001547,OG0003510,OG0005180,OG0004930,OG0004413,OG0001766,OG0006188,OG0000736,OG0004651,OG0000657,OG0003473,OG0001327,OG0001410,OG0006455,OG0000377,OG0004803,OG0001125,OG0000059,OG0000137,OG0000018,OG0001150,OG0005093,OG0000359,OG0000358,OG0002867,OG0000477,OG0004448,OG0000942,OG0002433,OG0000043,OG0000069,OG0007393,OG0000285,OG0000244,OG0000879,OG0000674,OG0005769,OG0005492,OG0000053,OG0000552,OG0003454,OG0005195,OG0001204,OG0000311,OG0002118,OG0007184,OG0004564,OG0001552,OG0000277,OG0004514,OG0000828,OG0000746,OG0002892,OG0002104,OG0006314,OG0001183,OG0011500,OG0000441,OG0003482,OG0001176,OG0002506,OG0011450,OG0000267,OG0004221,OG0020440,OG0000245,OG0000388,OG0013183,OG0005459,OG0005679,OG0003084,OG0000507,OG0009080,OG0001403,OG0005314,OG0000045,OG0001016,OG0000213,OG0012186,OG0005830,OG0007417,OG0004893,OG0003820,OG0000096,OG0006727,OG0001310,OG0006160,OG0006312,OG0005772,OG0001249,OG0004792,OG0004412,OG0003450,OG0004163,OG0003033,OG0008225,OG0000355,OG0004145,OG0007622,OG0000164,OG0005948,OG0005417,OG0007824,OG0006506,OG0006221,OG0000287,OG0004671,OG0006355,OG0000071,OG0009077,OG0004041,OG0006456,OG0001068,OG0008996,OG0009516,OG0000162,OG0000476,OG0001916,OG0005080,OG0012457,OG0001817,OG0000861,OG0000011,OG0005201,OG0000088,OG0005413,OG0006565,OG0001369,OG0000067,OG0003504,OG0004720,OG0012809,OG0006653,OG0005419,OG0012428,OG0003746,OG0001110,OG0000058,OG0000102,OG0000595,OG0002482,OG0006847,OG0000286,OG0004788,OG0006988,OG0000448,OG0003998,OG0006346,OG0010006,OG0007196,OG0000373,OG0000688,OG0000713,OG0001178,OG0011451,OG0012473,OG0011492,OG0005067,OG0005552,OG0010708,OG0000345,OG0004782,OG0004785,OG0000252,OG0006026,OG0009099,OG0001450,OG0000459,OG0001799,OG0007396,OG0005217,OG0010068,OG0005096,OG0004805,OG0000396,OG0001457,OG0000258,OG0006696,OG0003556,OG0001270,OG0000144"
20	0.926984127	Lasso + Enet[0.5]	28	"OG0000059,OG0000072,OG0000277,OG0000355,OG0000358,OG0000393,OG0000441,OG0000471,OG0000566,OG0000573,OG0000656,OG0000713,OG0000749,OG0000928,OG0000964,OG0000977,OG0000024,OG0000274,OG0000285,OG0000327,OG0000530,OG0000581,OG0000691,OG0000790,OG0000971,OG0000527,OG0000129,OG0000598"
